nome,model,file,MAE (erro entre a série inteira e a predição de todos os segmentos),RMSE (erro entre a série inteira e a predição de todos os segmentos),complexidade (média dos segmentos),desvio padrão complexidade,tempo,ganho médio de entropia por corte,numero de segmentos
RandomCut_2_0_5dias_umidrelmed2m_2021-03-08 _ 2021-03-13.csv,RandomCut_2,5dias_umidrelmed2m_2021-03-08 _ 2021-03-13,4.587462385606561,5.771767636873407,25.5,6.5,86.38716912800737,0.0,2
TopDownIndex_25_0_5dias_umidrelmed2m_2017-05-11 _ 2017-05-16.csv,TopDownIndex_25,5dias_umidrelmed2m_2017-05-11 _ 2017-05-16,,,4.945454545454545,9.149104639388455,392.29776980499446,-0.3798328147747186,110
TopDownIndex_25_0_5dias_umidrelmed2m_2019-09-17 _ 2019-09-22.csv,TopDownIndex_25,5dias_umidrelmed2m_2019-09-17 _ 2019-09-22,,,7.27,11.376163676740942,423.59113466700364,-0.3737672640807992,100
TopDownIndex_25_0_5dias_umidrelmed2m_2020-08-08 _ 2020-08-13.csv,TopDownIndex_25,5dias_umidrelmed2m_2020-08-08 _ 2020-08-13,0.7320685986441439,1.1816198717438726,3.3070866141732282,6.823433235438172,566.0012983360066,-0.27162837866943385,127
TopDownIndex_25_0_5dias_umidrelmed2m_2020-10-12 _ 2020-10-17.csv,TopDownIndex_25,5dias_umidrelmed2m_2020-10-12 _ 2020-10-17,0.7766609438780907,1.259159135280117,4.453608247422681,8.534974279376753,564.0682240330061,-0.37871921359981525,97
Full_0_5dias_umidrelmed2m_2016-09-07 _ 2016-09-12.csv,full,5dias_umidrelmed2m_2016-09-07 _ 2016-09-12.csv,15.630004117084933,20.011999438264663,19.0,0.0,16.10128576301213,0.0,1
PageHinkley_0_5dias_umidrelmed2m_2016-09-07 _ 2016-09-12.csv,PageHinkley,5dias_umidrelmed2m_2016-09-07 _ 2016-09-12,3.4984646336224783,4.752569994533695,23.2,10.342146779078316,48.97394759999588,-0.5039544244051942,5
PeriodicCut_0_5dias_umidrelmed2m_2016-09-07 _ 2016-09-12.csv,PeriodicCut,5dias_umidrelmed2m_2016-09-07 _ 2016-09-12,4.076212337756526,5.336459344559573,23.0,5.715476066494082,34.18538819300011,-0.666221669086213,3
RandomCut_1_0_5dias_umidrelmed2m_2016-09-07 _ 2016-09-12.csv,RandomCut_1,5dias_umidrelmed2m_2016-09-07 _ 2016-09-12,3.2721378502404845,4.158542425975662,26.5,1.6583123951777,42.93967391700426,-0.5462571657726835,4
RandomCut_2_0_5dias_umidrelmed2m_2016-09-07 _ 2016-09-12.csv,RandomCut_2,5dias_umidrelmed2m_2016-09-07 _ 2016-09-12,3.524460527895295,4.584905585966546,29.0,7.0710678118654755,43.36596107999503,-1.1648104077264565,4
RandomCut_3_0_5dias_umidrelmed2m_2016-09-07 _ 2016-09-12.csv,RandomCut_3,5dias_umidrelmed2m_2016-09-07 _ 2016-09-12,2.6439706727666756,3.4952549749827795,28.4,10.669582934679312,48.75336967299518,-0.45468165924718695,5
TopDownReg_48_50_0_5dias_umidrelmed2m_2016-09-07 _ 2016-09-12.csv,TopDownReg_48_50,5dias_umidrelmed2m_2016-09-07 _ 2016-09-12,1.9699617324983205,2.6483840915406356,25.0,7.958224257542215,58.96712253999431,-0.1290006509200265,6
TopDownIndex_25_0_5dias_umidrelmed2m_2016-09-07 _ 2016-09-12.csv,TopDownIndex_25,5dias_umidrelmed2m_2016-09-07 _ 2016-09-12,,,3.272727272727273,6.338010340750951,1014.3850871080067,-0.31244984230519135,143
